urlDrugName,rating,effectiveness,sideEffects,benefitsReview,sideEffectsReview,commentsReview,word_count,stopwords,numerics
lexapro,7,Moderately Effective,Mild Side Effects,"Taking Lexapro has become a staple in my life.  I come from an extremely depressed family history including suicide in the family and extreme bi-polar disorder in my father.  Without some kind of anti-depressant I literally cannot sleep at night due to low positive brain chemicals causing me to wake every few hours and have a very hard time falling asleep.  Therefore I take 15 mg prophylactically of Lexapro long-term.  I would rather not be on anything at all but unfortunately have tried that in the past without success.  I do think this drug can be very good if it helps you, though it is not a cure all by any means.",taking lexapro become staple life come extremely depressed family history including suicide family extreme bipolar disorder father without kind antidepressant literally cannot sleep night due low positive brain chemicals causing wake every hours hard time falling asleep therefore take 15 mg prophylactically lexapro longterm would rather anything unfortunately tried past without success think drug good helps though cure means,"I have tried 20 mg per day in divided doses (10 mg a.m. and 10 mg before bed at night) as well as 15 mg per day administered once in the morning.  I prefer the 15 mg although the 20 does work a little better as long as I divide the doses.  I am staying at 15 because I would like to take as small a dose as possible while still managing my depression symptoms.  I was happier overall on 20 mg however.  Oddly enough, taking 20 mg once in the morning rather than divided into a.m. and p.m. seemed to make my depression worse and I found myself crying more.  All in all the best for me is 20 mg with half in the morning and half at night.  However, for long term use I prefer to take 15 mg just once per day at night.",117,47,1
paxil,1,Moderately Effective,Severe Side Effects,overall more at ease mantally was the only true benefit I felt.,overall ease mantally true benefit,I was being treated for adult rheumatic fever with antibiotics and steroids and paxil.  I had a very hard time coming off of the paxil and I was very uncomfortable on it. The mental benefit was not worth the physical detriment.,12,5,0
citalopram,8,Highly Effective,Moderate Side Effects,"Alleviation of mild depression, effective progressively after 3 weeks of start. Removal of anxiety.",alleviation mild effective progressively 3 weeks start removal anxiety,"20mg daily for 3 months, taken as one pill each evening
10mg daily subsequently for 6 months.",14,4,1
citalopram,10,Highly Effective,Mild Side Effects,"That I felt able to function.
The dose was perfect for my condition.
Felt more calm and moods much better.",function dose perfect condition calm moods much,"citalopram has made it possible for me to feel good whilst coping with depression. My only concern, like with any medication is becoming dependent.",18,6,0
citalopram,1,Ineffective,Moderate Side Effects,I felt that i did not feel any benefits from this drug.,benefits drug,Starting dose 20mg daily. Increased to 40mg daily after initial six weeks.,12,7,0
wellbutrin-xl,7,Moderately Effective,Mild Side Effects,"elevation of mood and clarity of thought.  Progress stalled out at 300 mg, but with increase to 450 mg can tell the difference.  I'm able to finally think and plan ahead and chip away at all the clutter I've not been able to deal with which accumulated while depressed.",elevation mood clarity thought progress stalled 300 mg increase 450 mg tell difference im finally think plan ahead chip away clutter ive deal accumulated depressed,Inital treatment included therapy and Lexapro in addition to Wellbutrin XL.  Now only on the Wellbutrin XL.  I see the psychiatrist every 4 months for re-evaluation.,51,22,2
wellbutrin-xl,9,Considerably Effective,Mild Side Effects,"Greatly benefitted depression. I started to take this just before my child was born, having had post partum depression with another baby, and I was anticipating my life to be at least as hectic, if not more hectic, when this child was born as when the older child was born. I was very  pleased with the antidepressant effects. I never experienced any depression at all once this baby was born. I did not experience hypomania like I did with sertraline, which was a huge concern of mine. I just did not become depressed when this baby was born.",greatly benefitted started take child born post partum another baby anticipating life least hectic hectic child born older child born pleased antidepressant effects never experienced baby born experience hypomania like sertraline huge concern mine become depressed baby born,"I started to take wellbutrin xl at about six months of pregnancy and continued for approx six months, when the baby was about three months old. I usually took it in the morning, but often times forgot and took it later in the day. None of this seemed to affect how well it worked. Were it not for the fact that it is so expensive and that it can be toxic to the body, I would take it every day. 

(Please do not reveal my email address. I really value my privacy. Thank you.)",99,50,0
abilify,6,Considerably Effective,No Side Effects,I've only been on it for a week but I've noticed a change already. I am more awake and it seems as though a fog has been lifted. I am thinking more clearly and don't feel so down.,ive week ive noticed change already awake seems though fog lifted thinking clearly dont,My doctor added Abilify to my 60 mg of Cymbalta because I was feeling really fatigued and unable to function.,38,21,0
wellbutrin-sr,10,Highly Effective,No Side Effects,"It greatly helped with my depression which was caused by a divorce after 28 years of marriage. 3 months after my separation my Father died and my Mother became very angry and unresponsive with me.When I started taking this medication I was able to focus better at work and at home I was able to effectively deal with my emotions, I also experienced an increase in my libido. I am still currently taking the generic form of Wellbutrin SR (Bupropion).",greatly helped caused divorce 28 years marriage 3 months separation father died mother became angry unresponsive mewhen started taking medication focus work home effectively deal emotions also experienced increase libido still currently taking generic form wellbutrin sr bupropion,"I take 1 tablet in the morning an 1 tablet at night everyday. When I am able to afford it I intend to try the brand name of this product to see if it will help with my libido now since I have had a hysterectomy and am experiencing low libido, weight gain, and depression of a different kind than I experienced in the beginning.",80,32,2
zoloft,9,Considerably Effective,No Side Effects,"resolved depression within one week. I was told it did not work that fast, but I know it did. It is",resolved within one week told work fast know,I take it most days. At times I have stopped taking it for 30-50 days and the depression returns. I believe it is good to occasionally stop the medicine to be sure it is still needed.,21,8,0
wellbutrin,7,Highly Effective,Moderate Side Effects,"Medication helped with depression, my irritable bowel syndrome, appetite control, and there were no sexual side effects",medication helped irritable bowel syndrome appetite control sexual side effects,"I was treated for several years with the above medication, it worked better than anything I had tried. I was able to taper off the medication--NEVER quit abruptly--and have been doing fine. I began running to help with the depression and IBS and, in my opinion, it works very well. I still have times of irritability, but that's normal life, right?",17,6,0
effexor-xr,9,Considerably Effective,Mild Side Effects,My symptoms of depression were eased considerably.  I felt more like myself and began to take pleasure in activities. I stopped feeling sad and crying. I was able to concentrate again.  My appetite returned and my sleep patterns normalized.,symptoms eased considerably like began take pleasure activities stopped feeling sad crying concentrate appetite returned sleep patterns normalized,"I began taking Effexor XR when I was severely depressed. I took it once a day for approximately five years.  My symptoms included crying, lack of interest in life, inability to concentrate, loss of appetite, and sleeping more than usuual. I could barely get out of bed and I could not function. Within two weeks of beginning treatment with Effoxor, I began to feel take more of an interest in normal activities and was able to eat and sleep normally.",41,12,0
effexor,7,Moderately Effective,Moderate Side Effects,"The drug prevented emotional highs and lows.  Specifically helped with crying too much.  Lessened the intense ""caring"".  In some cases, it lessened it too much.",drug prevented emotional highs lows specifically helped crying much lessened intense caring cases lessened much,This was part of a treatment for Adult ADD.  I continued it for depression.,28,8,0
effexor,7,Considerably Effective,Moderate Side Effects,"In comparison with other antidepression medications I have taken prior to the effexor, It actually began working faster than the others (after about 2 weeks).  Most antidepressants usually take closer to 4 weeks to see improvements. Depression symptoms were significantly reduced.",comparison antidepression medications taken prior effexor actually began working faster others 2 weeks antidepressants usually take closer 4 weeks see improvements symptoms significantly reduced,150 mg daily,42,11,2
remeron,2,Ineffective,Severe Side Effects,No apparent benefits.  Had virtually no effect on my depression and it quickly became intolerable to use.,apparent benefits virtually effect quickly became intolerable use,Had virtually no effect on my depression and the side effects were intolerable.  Took it at bedtime but was still quite groggy throughout the day.  Gained about 25lbs before I stopped it.,18,6,0
citalopram,4,Moderately Effective,Moderate Side Effects,"Some symptoms of depression - crying all the time, dark thoughts - were lessened, although hard to know how much benefit the treatment gave all told or whether I would have come through it anyway as I had in the past.",symptoms crying time dark thoughts lessened although hard know much benefit treatment gave told whether would come anyway past,"20mg once daily for 5 months, weaning self off over 1 month decreasing dosage until 10mg every two days then stopped",41,16,0
prozac,7,Considerably Effective,Moderate Side Effects,The drug seemed to effectively treat the symptoms of depression for a year or so.  After the first year or so the depression seemed to come back now and then - although it did seem to be cyclical.,drug seemed effectively treat symptoms year first year seemed come back although seem cyclical,There were no other details of the treatment.  I changed to another drug that worked more effectively and have been on that one for several years.,39,18,0
lexapro,8,Considerably Effective,Moderate Side Effects,"I have clinical depression with aggitation and anger. This medication seemed to take the edge off the anger as well as decrease my depressive symptoms. I started at 10mg, then shortly increased to 20mg, which left me feeling too drugged. It was only after 12+ months of taking 10 mg that it was increased due to increasing depressive symptoms.",clinical aggitation anger medication seemed take edge anger well decrease depressive symptoms started 10mg shortly increased 20mg left feeling drugged 12 months taking 10 mg increased due increasing depressive symptoms,"I'm not sure waht you mean here- I started on the medication over 2 years ago at 10 mg a day. The dosage was increased to 20 mg after about 12 months.  The side effects were limited, and mostly not perticularly bothersome.",59,24,1
celexa,8,Considerably Effective,Mild Side Effects,"when the drug actually kicked in, after about 10 days as i recall, it was an amazing experience.I got out of bed and was walking to the bathroom to shower. I was whistling!!!I stopped and thought, hey whats going on here. I realized I felt great, like a heavy weight had been lifted from my shoulders. I felt better than i had felt for a hell of a long time. Never forget it, a fantastic feeling.Truly helped me to cope with the stress of business and relationships.I have recommended it two occasions both had a similar experience to my own.",drug actually kicked 10 days recall amazing experiencei got bed walking bathroom shower whistlingi stopped thought hey whats going realized great like heavy weight lifted shoulders hell long time never forget fantastic feelingtruly helped cope stress business relationshipsi recommended two occasions similar experience,not sure what you mean by this. Was in relationship counceling and the psycologist suggested I was depressed as well as stressed. she suggested citalopram. saw my gp who prescribed it. never looked back. I did slide back in to depression a couple of years after first taking the drug but recognised the symptoms and got another script from my doctor with the same positive results.,100,45,1
wellbutrin,6,Considerably Effective,Moderate Side Effects,The medication treated the depression without the sexual side-effects that accompanied several other medications for depression.,medication treated without sexual sideeffects accompanied several medications,"I was prescribed Wellbutrin, was on it for approximately 5 months and gradually stopped over the course of a few days.",16,5,0
prozac,8,Considerably Effective,Mild Side Effects,Lessening of suicidal ideation and an increased ability to complete daily life tasks.,lessening suicidal ideation increased ability complete daily life tasks,"This drug resulted in an unanticipated weightloss of over 20lbs - I went from 128 to 108 lbs. The weight loss decresed the incidences of bulimia. The drug was effective in that I no longer felt depressed per se, but then I didn't feel much of anything. Any combination with alcohol should be avioded - majorly increases its effects!",13,4,0
remeron,3,Ineffective,Extremely Severe Side Effects,Hardly any except I felt so physically tired that I couldn't even feel depressed.,hardly except physically tired couldnt even depressed,"I just started treatment for severe depression. I sleep okay, but have nightmares all night, which is why my doctor recommended Remeron. I am going to ask for a change in this because even though it has only been a few days, I am barely functional.",14,4,0
prozac,6,Considerably Effective,Moderate Side Effects,"Less depressed, I could consintrate on daily life better. I was happier, less anxious, stopped worrying so much.",less depressed could consintrate daily life happier less anxious stopped worrying much,"I was suppose to take 20mg daily for treatment of depression, it helped my depression but i often felt manic and 'not myself'",18,3,0
citalopram,7,Considerably Effective,Mild Side Effects,I feel that the citalopram helps keep me calm. I no longer have mood swings as often. No longer feel the need to just stay at home bymyself. No longer want to leave work because of depressed moods.,citalopram helps keep calm longer mood swings often longer need stay home bymyself longer want leave work depressed moods,I started taking 20mg pills for a few months. I noticed that it would feel as though it was wearing off by 7pm or so. My doctor prescribed me up to 30mg for a week and then to 40mg for the rest of the month. Things seem better than on the 20mg. However I still get depressed at times and nothing seems to ever go right. Perhaps therapy will help which my doctor mentioned. Going to continue on the 40mg for a few more months and see if it helps if not I will make another apt at the doctor and see what she thinks weather we want to try and up the dose or try something different.,38,13,0
zoloft,9,Highly Effective,Mild Side Effects,"Highly motivated vs my previous state of, ""why do I get up in the morning""? Nothing upset me- even something that would put down a generally happy person.",highly motivated vs previous state get morning nothing upset even something would put generally happy person,Went off of it once I felt better- I have been off of it for about 6 months and feel good still.,28,8,0
paxil,10,Highly Effective,Mild Side Effects,I believe that I suffered from depression my whole life.  I feel like the first years of my life would have been very different if I had some treatment for my feelings.  My whole family would agree that I am much much happier and have a feeling of peace in my life.,believe suffered whole life like first years life would different treatment feelings whole family would agree much much happier feeling peace life,"I'm not sure what you mean by ""treatment details"" but I saw a psycotherapist for several months and she prescribed the paxil and ok'd the paroxetine.  I share my treatment with anyone because I think that depression is not the best descriptive word for what was troubeling me.  Thanks for your work!",54,22,0
zoloft,1,Ineffective,Extremely Severe Side Effects,Patient experienced no treatment benefits.,patient experienced treatment benefits,Treatment details are as described above.,5,1,0
wellbutrin,10,Highly Effective,No Side Effects,"Wellbutrin and Prozac stabilized my moods and kept me from slipping into depression. There really wasn't anything more to it, but I gather I have to write 50 words, so here they are.",wellbutrin prozac stabilized moods kept slipping really wasnt anything gather write 50 words,I'm not sure I understand the question. This was pretty simple - I had a tendency to slip into deep depressions without medication. The drugs prevented that without side effects.,33,15,1
lexapro,8,Considerably Effective,Mild Side Effects,"The benefits were that once I started taking it, I became less emotional when I got upset.  I could handle the small things better than before, which used to set me off.  It evened out my moods so that I was less tempermental.",benefits started taking became less emotional got upset could handle small things used set evened moods less tempermental,"After a break-up, I was very depressed and upset all the time.  I began taking a dose of 20mg and within a few days, noticed a difference.  I had fewer dramatic mood swings, and was able to handle the everyday things that got me upset in a more reasonable manner.  I did not feel like crying as frequently as before the medication, and I feel it helps me keep a pretty even temper.  I continue to take this medication because I have been told I have a natural chemical imbalance, and this keeps me from being overly emotional when it is unnecessary.  Overall, I feel I benefit from taking it, and unless I miss a dose, I have no side effects.",45,14,0
prozac,1,Moderately Effective,Severe Side Effects,"There really weren't any - I didn't feel any better as the stressors in my life were still there.  I did not feel any relief from the depression, as a matter of fact, I felt worse.",really werent didnt stressors life still relief matter fact worse,"I really wasn't comfortable with taking Prozac in the first place - I had a crappy HMO doctor who thought giving me a pill would solve my problem.  I really just needed a change in my life (job, living in DC) to reverse my depression.  In other words, I think my depression was situational, not a chemical imbalance.  I know that these do work for many people, but I think it's imperative that a person know WHY they are depressed before they hit the pharmacy.",37,17,0
prozac,8,Considerably Effective,Moderate Side Effects,"relief of depression, ""floor"" under worst moods, increased confidence, less sadness. Allowed patient to function normally in work and social situations",relief floor moods increased confidence less sadness allowed patient function normally work social situations,"Was originally prescribed medication by psychiatrist, continued prescription from GP after cessation of psychiatric treatment",21,5,0
paxil,1,Ineffective,Extremely Severe Side Effects,there was none.,none,"Took him to doctor a few times for deppression. Doctor wrote a perscription. He was just a M.D., did not get a syc eval.",3,2,0
wellbutrin,3,Ineffective,Moderate Side Effects,Did not take it long enough for any noticeable benefit.,take long enough noticeable benefit,"300mg Wellbutrin daily.

My hair started falling out after the first week. During  week two, I saw my doctor and told her about this. She said it was not a known side effect. Internet research assured me the hair loss was not coincidental; others had the same reaction. I quit taking it a few days later.",10,4,0
zoloft,5,Considerably Effective,Mild Side Effects,i believe the medication did assist with depression. By the end of the six month most symptons of depression were gone,believe medication assist end six month symptons gone,"not sure what you are wanting, but one pill everyday",21,10,0
paxil,8,Considerably Effective,Mild Side Effects,solved my depression and helped me have an overall better outlook on life.,solved helped overall outlook life,"I take 20 mg once a day first thing in the morning, and it no longer keeps me awake late into the night.   I overall would recommend this drug to others.  I take the generic.",13,6,0
lexapro,1,Ineffective,Extremely Severe Side Effects,"The first few days I felt ""happier""",first days happier,It was horrible..just read above,7,1,0
wellbutrin-sr,10,Highly Effective,Mild Side Effects,"I began to notice the positive benefits within a few weeks.  My mood brightened, I stopped feeling grief and self-loathing, began to remember what I liked to do. I also had increased ability to concentrate, increased energy, increased sex drive.   I was no longer depressed.  I stopped taking the medication after a couple of years, and the symptoms of depression did not return.",began notice positive benefits within weeks mood brightened stopped feeling grief selfloathing began remember liked also increased ability concentrate increased energy increased sex drive longer depressed stopped taking medication couple years symptoms return,"I met with my physician four weeks after I began taking the medication, then 3 months later, then every six months. I did not attend talk therapy or receive any other treatment.",67,21,0
cymbalta,8,Considerably Effective,Moderate Side Effects,"It itnitially helped a great deal. The first 2 days I slept and I felt really good for a change. My aches and pains seemed to vanish. I had energy and felt motivated. My ""quick to aggravate"" temperment diminished as well.",itnitially helped great deal first 2 days slept really good change aches pains seemed vanish energy motivated quick aggravate temperment diminished well,I was started on 30 mg po qd for 2 weeks then increased to 60 mg po qd.,41,10,1
lexapro,8,Highly Effective,Mild Side Effects,"helped anxiety & black moods, headaches.  Made my life a happier place to be in, especially for my family.  Have had great results with lexapro with only minimal side effects such as a small weight gain.",helped anxiety black moods headaches made life happier place especially family great results lexapro minimal side effects small weight gain,"Doctor prescribed lexapro when I had seen him about black moods & depression which is something I have had on and off since I was very young.   Depression was starting to effect my family life so felt I needed to see a doctor, he prescribed me lexapro as it helps with depression & anxiety.  I was prescribed 10mg and take one tablet daily.  I visit the doctor regularly to update progress on lexapro",38,13,0
paxil,7,Considerably Effective,Extremely Severe Side Effects,Significantly decreased depression and anxiety. More effective than Lexapro which was also taken prior by patient. Definitely a more effective product.,significantly decreased anxiety effective lexapro also taken prior patient definitely effective product,Taken daily at night before bedtime. Also exercised daily and increased activity which contributed to success.,21,7,0
wellbutrin-xl,5,Moderately Effective,Moderate Side Effects,"Stabalized mood, decreased fatigue, better outlook on life.",stabalized mood decreased fatigue outlook life,"I was perscribed Wellbutrin XL for depression, I am still taking it however I am thinking of weaning myself off as I dont really see that drastic an improvement and the side affects are troubling, I have experienced a significant amount of hairloss.  Hairloss is a rare side affect, but it seems to affect a lot of women.",8,1,0
zoloft,7,Considerably Effective,Mild Side Effects,able to think more clearly and remember things and not so depressed. could function more stable -- began to get more done like in years past. the night sweats from pre menapausal symptoms seemed to go away almost totally; it gave me more hope and not so effected by negative circumstances. I was able to move on with life and function like a normal person,think clearly remember things depressed could function stable began get done like years past night sweats pre menapausal symptoms seemed go away almost totally gave hope effected negative circumstances move life function like normal person,take once a day,65,26,0
wellbutrin,8,Considerably Effective,Mild Side Effects,"relieved depressive symptoms; not as weepy or anxious, did NOT interfere with libido/sexual performance; slight decrease in appetite (pt liked wt loss)",relieved depressive symptoms weepy anxious interfere libidosexual performance slight decrease appetite pt liked wt loss,pt started on 150mg daily for 1 week then increased to 300mg once daily. Pt continues on the regimen today (has been for years 5+),22,6,0
prozac,9,Highly Effective,Mild Side Effects,"Having had severe TPM symptoms for many years, I asked my doctor for Fluoxetine. The benefits were a total feeling of ""well-being"". Without the extreme ""high"" feeling of anfetamines (taken before as part of a supervised diet regimen). High decrease on anxiety. Appetite more controled. Clearness of my thoughts. Decrease on crisis of depression (specially during the days previous to my periods). More ""energy"" during the day to the daily things.. decrease on obsessive compulsive (mild) disorder",severe tpm symptoms many years asked doctor fluoxetine benefits total feeling wellbeing without extreme high feeling anfetamines taken part supervised diet regimen high decrease anxiety appetite controled clearness thoughts decrease crisis specially days previous periods energy day daily things decrease obsessive compulsive mild disorder,Fluoxetine 20mg. Taken once daily (variation: twice daily during week previous to period). For a period of 6 months (at least 3 months; possibly to be discontinued if great increase was noticed). Not to be taken with any other drug before consulting a doctor. Not to be taken with alcoolic drinks. Not to be taken with empty stomache.,77,28,0
lexapro,6,Moderately Effective,Mild Side Effects,"less irritability, slept better. Was less hungry.",less irritability slept less hungry,"Was put on paxil which was quite effective but had the side effect of wt gain. Switched to lexapro. Wt gain more easily controlled, but wasn't as effective as paxil for depression. Now I'm on nothing and I'm doing well.",7,0,0
lexapro,6,Marginally Effective,No Side Effects,"The treatment benefits were marginal at best.  Mood neither improved nor deteriorated, and anxiety was never significantly alleviated.  Unsurprisingly, recent research suggests that SSRIs are only effective in the most severe of cases.",treatment benefits marginal best mood neither improved deteriorated anxiety never significantly alleviated unsurprisingly recent research suggests ssris effective severe cases,"The pills are administered once a day, daily, for as long as you think it's worth taking them.  The prescribing physician recommended taking Lexapro for at least six months to get the full benefit of its normalizing effects.",35,12,0
effexor,8,Considerably Effective,Mild Side Effects,"I did not experience the ""brain-fog"" that I did with Celexa. I felt great after the first couple of days - relieved the depression immensely.",experience brainfog celexa great first couple days relieved,"After using Celexa for 7 years, it decreased in its helpfulness. Celexa always made me feel like I was in a fog as well - hated the stuff. Immediately after taking Effexor, I felt the fog lift and I can't begin to tell you how relieved I am,  or how greatly that improveed the quality of my life. I still have moments where I feel a little anxious, but as a whole, the depression is being taken care of. When I noticed a decrease in visual accuity in my right eye, I stopped taking the drug. My eyesight seemed to return to normal. Oddly, my left eye is fine, but it was always extraordinarily good.",25,10,0
lexapro,9,Considerably Effective,Mild Side Effects,"Lessened anxiety,brought about more attention",lessened anxietybrought attention,take one pill daily,5,2,0
wellbutrin-xl,10,Highly Effective,Mild Side Effects,complete improvement in flat sad affect.  Felt depression completely lift by the end of four weeks.,complete improvement flat sad affect completely lift end four weeks,My doctor added wellbutrin to my existing zoloft for treatment of my depression.  By adding this my zoloft side effects went away and my depression lifted.,17,4,0
wellbutrin,5,Moderately Effective,No Side Effects,"I have a long history in taking anti-depressant drugs.  It started in high school with prozac and desipramine, neither of which I have anything positive to report.  In college, after a dangerous stint without treatment, it resumed with luvox, and  later it was effexor.  Finally, after the scariest bout of all, leading to a stay in the hospital, they put me on wellbutrin.  Combined with rigorous therapy, dbt (dialectical behavioral therapy) groups, and much personal work, I got my head above water.  I was able to work, eat well and exercise regularly, but many of the symptoms were still there.  I thought that was the extent of what an anti-depressant could do for me, the rest of the work was up to me and maybe in about 20 years I might be able to feel happiness.  Since then I went off wellbutrin during a cross-country move, was part of a study for treatment resistant depression where it was recommended I try cymbalta.  I feel the cymbalta has actually influenced my negative thinking and given me more energy.  So now I know that an anti-depressant can potentially create better results than just keeping ones head above water.",long history taking antidepressant drugs started high school prozac desipramine neither anything positive report college dangerous stint without treatment resumed luvox later effexor finally scariest bout leading stay hospital put wellbutrin combined rigorous therapy dbt dialectical behavioral therapy groups much personal work got head water work eat well exercise regularly many symptoms still thought extent antidepressant could rest work maybe 20 years might happiness since went wellbutrin crosscountry move part study treatment resistant recommended try cymbalta cymbalta actually influenced negative thinking given energy know antidepressant potentially create results keeping ones head water,"Once a month I see a psychiatrist, although I am ""in between"" doctors right now because my previous one left as they always seem to do.  I have been without a therapist for a while now, wanting to take a break from the time and monetary commitment  that therapy demands.  I am  beginning to think that now is a good time to go back to it.  I consider the jogging, yoga, healthy eating and vitamins I take to be a part of my treatment.",206,82,1
wellbutrin-xl,8,Considerably Effective,Mild Side Effects,"Aided in decreasing symptoms of depression, and also reduced craving for cigarettes as a bonus.  Noticeably less lethargy.",aided decreasing symptoms also reduced craving cigarettes bonus noticeably less lethargy,"In conjunction with taking Lexapro for anxiety, Wellbutrin XL was taken (150 mg/day) to reduce depression and balance the side effects of Lexapro, including lethargy, weight gain and sexual dysfunction.  Lexapro was taken in evening, Wellbutrin XL in the morning.",19,6,0
