urlDrugName,rating,effectiveness,sideEffects,benefitsReview,sideEffectsReview,commentsReview
paxil,6,Considerably Effective,Severe Side Effects,A more positive outlook and much easier social interaction.  Introversion diminished and friendly extroversion became more natural.  It was easier to start and finish projects because energy previously wasted on negative thoughts and actions was now available for constructive purposes.,"A total loss of any sexual sensation.  Prior to treatment interest in sex was low but paradoxically, when a feeling of psychological well-being produced a renewed interest in sex, the drug also removed the physical ability to engage in it.  Orgasm was impossible and physical arousal was too weak to be effective. 
The worst part was withdrawal following treatment.  It took at least 6 months of extremely gradual tapering off to withdraw, and I was on a low dose.  Any attempt to withdraw faster would produce chaotic mood swings from hysterical laughter to violent, yelling rages.  Every emotion, however mild, was magnified exponentially.  Sexual sensation also went off the scale with such hypersensitivity that ejaculations happened spontaneously without any physical stimulation - a sneeze or a yawning stretch would morph into an immediate ejaculating orgasm without any erection.  Throughout the withdrawal period a sensation of electric brain shocks extending to the arms and trunk would accompany any quick eye movement.","Just the one pill each morning.  This medication is such a double-edged sword that I could not recommend it.  The long term dangers of sustained treatment are too great, as evidenced by the severe withdrawal effects.  It really 'rewires' your brain and those effects may be unpredictable from person to person."
effexor-xr,5,Moderately Effective,Mild Side Effects,"Wasn't as severly depressed as before taking the drug, didn't sleep as much and was able to function normally in a job.","nightmares, some drowsiness during the day, minor weight gain","Took the medication in the mornings

tried to discontinue the medication gradually, but had severe side effects including electric like shocks"
lexapro,1,Moderately Effective,Severe Side Effects,I felt less sadness.,"i felt less of every emotion.  i felt emotionally flat.  Slept a lot.  When I wasn't sleeping, I really could not even have driven a car.  Made me a zombie.","I took a whole 10 mg tablet the first time and I wasn't right for two days.  I then took just a quarter of a 10 mg tablet and got the same reaction, but it only lasted for about a day. I was through with it a that point."
zoloft,8,Considerably Effective,Mild Side Effects,"After about two weeks of being on the medicine, I started to feel a little better but I think it takes awhile for it to really kick in. The medicine has helped me by the following:
Lessened depression, better overall mood, slightly less irritable and sensitive, better able to function daily","occasional headaches and nausea,occasional ticking noise in the back of my head, and decreased sex drive,",I was diagnosed with severe depression after attempted suicide.
lexapro,7,Moderately Effective,Mild Side Effects,"Taking Lexapro has become a staple in my life.  I come from an extremely depressed family history including suicide in the family and extreme bi-polar disorder in my father.  Without some kind of anti-depressant I literally cannot sleep at night due to low positive brain chemicals causing me to wake every few hours and have a very hard time falling asleep.  Therefore I take 15 mg prophylactically of Lexapro long-term.  I would rather not be on anything at all but unfortunately have tried that in the past without success.  I do think this drug can be very good if it helps you, though it is not a cure all by any means.","The side effects for me included slightly lowered sex drive but not completely gone and climax is still possible.  I am drowsier on this drug than I was before and have lost some of my motivation regarding goals and dreams.  However, it is worth it to also lose the insomnia and crying spells.","I have tried 20 mg per day in divided doses (10 mg a.m. and 10 mg before bed at night) as well as 15 mg per day administered once in the morning.  I prefer the 15 mg although the 20 does work a little better as long as I divide the doses.  I am staying at 15 because I would like to take as small a dose as possible while still managing my depression symptoms.  I was happier overall on 20 mg however.  Oddly enough, taking 20 mg once in the morning rather than divided into a.m. and p.m. seemed to make my depression worse and I found myself crying more.  All in all the best for me is 20 mg with half in the morning and half at night.  However, for long term use I prefer to take 15 mg just once per day at night."
paxil,1,Moderately Effective,Severe Side Effects,overall more at ease mantally was the only true benefit I felt.,"I was sweating all the time, also loss of appetite and sex drive. Uncomfortable in my skin. Constipation. Horrible to stop taking. Very hard to lessen the dosage and not feel like I was shaking out of my skin. Very edgy, trembles.",I was being treated for adult rheumatic fever with antibiotics and steroids and paxil.  I had a very hard time coming off of the paxil and I was very uncomfortable on it. The mental benefit was not worth the physical detriment.
citalopram,8,Highly Effective,Moderate Side Effects,"Alleviation of mild depression, effective progressively after 3 weeks of start. Removal of anxiety.","Slight skin irritation, temporary. Dulling of mental activity, feeling of no concern regarding important subjects. Eventually feeling the drug was inhibiting overall life progress.","20mg daily for 3 months, taken as one pill each evening
10mg daily subsequently for 6 months."
citalopram,10,Highly Effective,Mild Side Effects,"That I felt able to function.
The dose was perfect for my condition.
Felt more calm and moods much better.","mild headache at the start, and loss of appetite.","citalopram has made it possible for me to feel good whilst coping with depression. My only concern, like with any medication is becoming dependent."
citalopram,1,Ineffective,Moderate Side Effects,I felt that i did not feel any benefits from this drug.,"I felt more anxious than before starting on this medication, these effects lasted about ten days, i began having headaches which lasted about a week. I carried on taking citalopram for six weeks with no benefit, so my doctor increased the dose to 40mg daily. Four weeks later i decided to stop this medication as I felt like a zombie, as though my thoughts were on a go slow. I quit there and then, which i know is not advisable, but I just wanted to get this drug out of my system. The worst withdrawl symptom I had was the strange dreams/nightmares. I will never forget them, they were so vivid and funnily enough i had not had (remembered) any dreams for the previous five years.",Starting dose 20mg daily. Increased to 40mg daily after initial six weeks.
wellbutrin-xl,7,Moderately Effective,Mild Side Effects,"elevation of mood and clarity of thought.  Progress stalled out at 300 mg, but with increase to 450 mg can tell the difference.  I'm able to finally think and plan ahead and chip away at all the clutter I've not been able to deal with which accumulated while depressed.","none at 300 mg.  Possible tinnitus from increase to 450 mg, not evaluated by an audiologist yet though.  Did experience weight loss (7 lbs.) at 450 mg dosage.",Inital treatment included therapy and Lexapro in addition to Wellbutrin XL.  Now only on the Wellbutrin XL.  I see the psychiatrist every 4 months for re-evaluation.
wellbutrin-xl,9,Considerably Effective,Mild Side Effects,"Greatly benefitted depression. I started to take this just before my child was born, having had post partum depression with another baby, and I was anticipating my life to be at least as hectic, if not more hectic, when this child was born as when the older child was born. I was very  pleased with the antidepressant effects. I never experienced any depression at all once this baby was born. I did not experience hypomania like I did with sertraline, which was a huge concern of mine. I just did not become depressed when this baby was born.","Wellbutrin can make me feel anxious, which is why I have a prescription for clonazepam whenever I am taking wellbutrin. The worst side effect was the cost. I have no health insurance and wellbutrin xl is very expensive. I did not notice weight loss, as some others have, nor did I ever notice an increase in my libido. I tolerated it very well.","I started to take wellbutrin xl at about six months of pregnancy and continued for approx six months, when the baby was about three months old. I usually took it in the morning, but often times forgot and took it later in the day. None of this seemed to affect how well it worked. Were it not for the fact that it is so expensive and that it can be toxic to the body, I would take it every day. 

(Please do not reveal my email address. I really value my privacy. Thank you.)"
abilify,6,Considerably Effective,No Side Effects,I've only been on it for a week but I've noticed a change already. I am more awake and it seems as though a fog has been lifted. I am thinking more clearly and don't feel so down.,None so far.,My doctor added Abilify to my 60 mg of Cymbalta because I was feeling really fatigued and unable to function.
wellbutrin-sr,10,Highly Effective,No Side Effects,"It greatly helped with my depression which was caused by a divorce after 28 years of marriage. 3 months after my separation my Father died and my Mother became very angry and unresponsive with me.When I started taking this medication I was able to focus better at work and at home I was able to effectively deal with my emotions, I also experienced an increase in my libido. I am still currently taking the generic form of Wellbutrin SR (Bupropion).","I took Wellbetrin XL for a little while, but I didn't like it because I felt like my emotions were on a rollercoaster ride. I went back to the generic form of Wellbutrin SR and I felt better, I would like to try the name brand of Wellbutrin since I have heard that it is actually better than the generic.I don't recall any bad side effects,except a little dry mouth.","I take 1 tablet in the morning an 1 tablet at night everyday. When I am able to afford it I intend to try the brand name of this product to see if it will help with my libido now since I have had a hysterectomy and am experiencing low libido, weight gain, and depression of a different kind than I experienced in the beginning."
zoloft,9,Considerably Effective,No Side Effects,"resolved depression within one week. I was told it did not work that fast, but I know it did. It is",None. I have not had any effects from the drug other than stopping the depression.,I take it most days. At times I have stopped taking it for 30-50 days and the depression returns. I believe it is good to occasionally stop the medicine to be sure it is still needed.
wellbutrin,7,Highly Effective,Moderate Side Effects,"Medication helped with depression, my irritable bowel syndrome, appetite control, and there were no sexual side effects","dry mouth, difficulty sleeping","I was treated for several years with the above medication, it worked better than anything I had tried. I was able to taper off the medication--NEVER quit abruptly--and have been doing fine. I began running to help with the depression and IBS and, in my opinion, it works very well. I still have times of irritability, but that's normal life, right?"
effexor-xr,9,Considerably Effective,Mild Side Effects,My symptoms of depression were eased considerably.  I felt more like myself and began to take pleasure in activities. I stopped feeling sad and crying. I was able to concentrate again.  My appetite returned and my sleep patterns normalized.,The drug made me nauseated the first month I took it. The only other significant ongoing side effect I experienced was constipation.,"I began taking Effexor XR when I was severely depressed. I took it once a day for approximately five years.  My symptoms included crying, lack of interest in life, inability to concentrate, loss of appetite, and sleeping more than usuual. I could barely get out of bed and I could not function. Within two weeks of beginning treatment with Effoxor, I began to feel take more of an interest in normal activities and was able to eat and sleep normally."
effexor,7,Moderately Effective,Moderate Side Effects,"The drug prevented emotional highs and lows.  Specifically helped with crying too much.  Lessened the intense ""caring"".  In some cases, it lessened it too much.",There were strange sensations when 2+ doses were missed. Certain sounds seemed exaggerated.,This was part of a treatment for Adult ADD.  I continued it for depression.
effexor,7,Considerably Effective,Moderate Side Effects,"In comparison with other antidepression medications I have taken prior to the effexor, It actually began working faster than the others (after about 2 weeks).  Most antidepressants usually take closer to 4 weeks to see improvements. Depression symptoms were significantly reduced.","I experienced moderate constipation as well as excessive night sweating.  Would become completely drenched in sweat during sleep. Also experienced sexual side effects (low libido). The thing I really don't like about effexor is that if I miss a day for some reason, I begin to experience feelings of dizziness within 24 hours.",150 mg daily
remeron,2,Ineffective,Severe Side Effects,No apparent benefits.  Had virtually no effect on my depression and it quickly became intolerable to use.,"Extreme drowsiness, weight gain.",Had virtually no effect on my depression and the side effects were intolerable.  Took it at bedtime but was still quite groggy throughout the day.  Gained about 25lbs before I stopped it.
citalopram,4,Moderately Effective,Moderate Side Effects,"Some symptoms of depression - crying all the time, dark thoughts - were lessened, although hard to know how much benefit the treatment gave all told or whether I would have come through it anyway as I had in the past.","When started on treatment: vivid images when eyes closed, trembling, anxiety, feeling of detachedness
Throughout treatment: Insomnia and disrupted sleep patterns, some dizziness at times, muscular twitching, fidgeting and spasming, weight loss due mostly to fidgeting all the time
Coming off treatment: what others have termed ""brain shivers"", a sort of brain zing which was very disturbing, crying, feeling like the depression was coming back","20mg once daily for 5 months, weaning self off over 1 month decreasing dosage until 10mg every two days then stopped"
prozac,7,Considerably Effective,Moderate Side Effects,The drug seemed to effectively treat the symptoms of depression for a year or so.  After the first year or so the depression seemed to come back now and then - although it did seem to be cyclical.,"Nausea if taken on an empty stomach, shakiness, dry mouth.",There were no other details of the treatment.  I changed to another drug that worked more effectively and have been on that one for several years.
lexapro,8,Considerably Effective,Moderate Side Effects,"I have clinical depression with aggitation and anger. This medication seemed to take the edge off the anger as well as decrease my depressive symptoms. I started at 10mg, then shortly increased to 20mg, which left me feeling too drugged. It was only after 12+ months of taking 10 mg that it was increased due to increasing depressive symptoms.","Initially the medication made me very drowsy. I began taking it at bedtime, which seemed to eleviate that particular concern.  I think there may have been some weight gain, but I am not certain that it was specifically related to the Lexapro. Also, I did initially have difficult acheiving orgasm, but this side effect seemed to diminish within 6-9 months.","I'm not sure waht you mean here- I started on the medication over 2 years ago at 10 mg a day. The dosage was increased to 20 mg after about 12 months.  The side effects were limited, and mostly not perticularly bothersome."
celexa,8,Considerably Effective,Mild Side Effects,"when the drug actually kicked in, after about 10 days as i recall, it was an amazing experience.I got out of bed and was walking to the bathroom to shower. I was whistling!!!I stopped and thought, hey whats going on here. I realized I felt great, like a heavy weight had been lifted from my shoulders. I felt better than i had felt for a hell of a long time. Never forget it, a fantastic feeling.Truly helped me to cope with the stress of business and relationships.I have recommended it two occasions both had a similar experience to my own.","quite severe night sweats and yawning,dry mouth,ejaculation disorder (not always a bad thing)",not sure what you mean by this. Was in relationship counceling and the psycologist suggested I was depressed as well as stressed. she suggested citalopram. saw my gp who prescribed it. never looked back. I did slide back in to depression a couple of years after first taking the drug but recognised the symptoms and got another script from my doctor with the same positive results.
wellbutrin,6,Considerably Effective,Moderate Side Effects,The medication treated the depression without the sexual side-effects that accompanied several other medications for depression.,"Unfortunately, the drug seemed to correlate with an increased severity of a pre-existing condition: tinnitus. The tinnitus which was moderate to begin with became severe and ultimately led me to stop taking the medication. The tinnitus, though still present, is markedly less severe and decreased almost immediately after stopping the medication.","I was prescribed Wellbutrin, was on it for approximately 5 months and gradually stopped over the course of a few days."
prozac,8,Considerably Effective,Mild Side Effects,Lessening of suicidal ideation and an increased ability to complete daily life tasks.,There was a decreased ability to have orgasms and a general numbing not quite stupor in which I existed. There was also a major decrese in appetite.,"This drug resulted in an unanticipated weightloss of over 20lbs - I went from 128 to 108 lbs. The weight loss decresed the incidences of bulimia. The drug was effective in that I no longer felt depressed per se, but then I didn't feel much of anything. Any combination with alcohol should be avioded - majorly increases its effects!"
remeron,3,Ineffective,Extremely Severe Side Effects,Hardly any except I felt so physically tired that I couldn't even feel depressed.,"I was so exhausted that I could hardly get out of bed and get to work. At work, I just wanted to put my head down and go to sleep. As soon as I got home around 6pm, I had to go to bed. It was ridiculous.","I just started treatment for severe depression. I sleep okay, but have nightmares all night, which is why my doctor recommended Remeron. I am going to ask for a change in this because even though it has only been a few days, I am barely functional."
prozac,6,Considerably Effective,Moderate Side Effects,"Less depressed, I could consintrate on daily life better. I was happier, less anxious, stopped worrying so much.","I felt manic at times, surreal. I was thirsty a lot, and forgot to eat.","I was suppose to take 20mg daily for treatment of depression, it helped my depression but i often felt manic and 'not myself'"
citalopram,7,Considerably Effective,Mild Side Effects,I feel that the citalopram helps keep me calm. I no longer have mood swings as often. No longer feel the need to just stay at home bymyself. No longer want to leave work because of depressed moods.,First 2 days wicked nasea. I do sweat more than usual. Trouble sleeping at times.,I started taking 20mg pills for a few months. I noticed that it would feel as though it was wearing off by 7pm or so. My doctor prescribed me up to 30mg for a week and then to 40mg for the rest of the month. Things seem better than on the 20mg. However I still get depressed at times and nothing seems to ever go right. Perhaps therapy will help which my doctor mentioned. Going to continue on the 40mg for a few more months and see if it helps if not I will make another apt at the doctor and see what she thinks weather we want to try and up the dose or try something different.
zoloft,9,Highly Effective,Mild Side Effects,"Highly motivated vs my previous state of, ""why do I get up in the morning""? Nothing upset me- even something that would put down a generally happy person.","Harder to climax, although I didn't necessarily lose interest in sex drive.",Went off of it once I felt better- I have been off of it for about 6 months and feel good still.
paxil,10,Highly Effective,Mild Side Effects,I believe that I suffered from depression my whole life.  I feel like the first years of my life would have been very different if I had some treatment for my feelings.  My whole family would agree that I am much much happier and have a feeling of peace in my life.,I am not sure if it is only the drug but I have almost no sexual feelings. Could just be my age...who knows.,"I'm not sure what you mean by ""treatment details"" but I saw a psycotherapist for several months and she prescribed the paxil and ok'd the paroxetine.  I share my treatment with anyone because I think that depression is not the best descriptive word for what was troubeling me.  Thanks for your work!"
zoloft,1,Ineffective,Extremely Severe Side Effects,Patient experienced no treatment benefits.,"The major side effect was persistent thoughts of suicide - always by hanging. These thoughts developed after about three weeks of treatment and became more persistent as time went on. Patient stopped taking the medication after two months subsequently informing attending physician, who initially did not believe that medication could provoke that side effect in someone 50 years of age.",Treatment details are as described above.
wellbutrin,10,Highly Effective,No Side Effects,"Wellbutrin and Prozac stabilized my moods and kept me from slipping into depression. There really wasn't anything more to it, but I gather I have to write 50 words, so here they are.",None.,I'm not sure I understand the question. This was pretty simple - I had a tendency to slip into deep depressions without medication. The drugs prevented that without side effects.
lexapro,8,Considerably Effective,Mild Side Effects,"The benefits were that once I started taking it, I became less emotional when I got upset.  I could handle the small things better than before, which used to set me off.  It evened out my moods so that I was less tempermental.","If I missed taking a dose, I would feel a bit lightheaded, dizzy or have a headache.  Too many missed doses lead to a really irritable mood.","After a break-up, I was very depressed and upset all the time.  I began taking a dose of 20mg and within a few days, noticed a difference.  I had fewer dramatic mood swings, and was able to handle the everyday things that got me upset in a more reasonable manner.  I did not feel like crying as frequently as before the medication, and I feel it helps me keep a pretty even temper.  I continue to take this medication because I have been told I have a natural chemical imbalance, and this keeps me from being overly emotional when it is unnecessary.  Overall, I feel I benefit from taking it, and unless I miss a dose, I have no side effects."
prozac,1,Moderately Effective,Severe Side Effects,"There really weren't any - I didn't feel any better as the stressors in my life were still there.  I did not feel any relief from the depression, as a matter of fact, I felt worse.",I couldn't sleep at night and would fall asleep during the day.  It sometimes made me agitated too.,"I really wasn't comfortable with taking Prozac in the first place - I had a crappy HMO doctor who thought giving me a pill would solve my problem.  I really just needed a change in my life (job, living in DC) to reverse my depression.  In other words, I think my depression was situational, not a chemical imbalance.  I know that these do work for many people, but I think it's imperative that a person know WHY they are depressed before they hit the pharmacy."
prozac,8,Considerably Effective,Moderate Side Effects,"relief of depression, ""floor"" under worst moods, increased confidence, less sadness. Allowed patient to function normally in work and social situations","Loss of libido, occasional fatigue. Jittery feeling when dosage was temporarily increased to 40mg","Was originally prescribed medication by psychiatrist, continued prescription from GP after cessation of psychiatric treatment"
paxil,1,Ineffective,Extremely Severe Side Effects,there was none.,"he didnt get out of bed for three days,couldnt get him to eat (he only weighed 120 lbs),had to forse him to drink water, became even more depresses very suasidal,out of it,  and lethargic. We had to take him to hospital(They were not helpful at all) Would only help if he had made a suaside attempt.","Took him to doctor a few times for deppression. Doctor wrote a perscription. He was just a M.D., did not get a syc eval."
wellbutrin,3,Ineffective,Moderate Side Effects,Did not take it long enough for any noticeable benefit.,"My hair started falling out after the first week. During  week two, I saw my doctor and told her about this. She said it was not a known side effect. Internet research assured me the hair loss was not coincidental; others had the same reaction. I quit taking it a few days later.","300mg Wellbutrin daily.

My hair started falling out after the first week. During  week two, I saw my doctor and told her about this. She said it was not a known side effect. Internet research assured me the hair loss was not coincidental; others had the same reaction. I quit taking it a few days later."
zoloft,5,Considerably Effective,Mild Side Effects,i believe the medication did assist with depression. By the end of the six month most symptons of depression were gone,when I was coming off the medication it was recommeded to do slowly by reducing the medication dosage gradually which i did. Side effects while doing this were diziness almost constantly,"not sure what you are wanting, but one pill everyday"
paxil,8,Considerably Effective,Mild Side Effects,solved my depression and helped me have an overall better outlook on life.,"Pleasant vivid dreams, night sweats, intermentrual bleeding,numbed other emotions, minor weight gain, unable to fall asleep (but after about 4 months, this didn't happen)","I take 20 mg once a day first thing in the morning, and it no longer keeps me awake late into the night.   I overall would recommend this drug to others.  I take the generic."
lexapro,1,Ineffective,Extremely Severe Side Effects,"The first few days I felt ""happier""","at the 3 week mark, I started having SEVERE anxiety attacks that were constant. I was in a constant state of worry & I couldn't get warm,couldn't sleep,couldn't eat,NOTHING..I quit taking it & went through withdrawls even though the doctor said I wasn't on it long enough to go through withdrawls. It's been about 4 weeks & I am STILL not all the way back to where I was before taking this ""devil pill""",It was horrible..just read above
wellbutrin-sr,10,Highly Effective,Mild Side Effects,"I began to notice the positive benefits within a few weeks.  My mood brightened, I stopped feeling grief and self-loathing, began to remember what I liked to do. I also had increased ability to concentrate, increased energy, increased sex drive.   I was no longer depressed.  I stopped taking the medication after a couple of years, and the symptoms of depression did not return.","I actually felt pretty upset during the first couple of weeks - shaky, a little manic and sensitive.  That did go away, though.  I also had occasional insomnia throughout.","I met with my physician four weeks after I began taking the medication, then 3 months later, then every six months. I did not attend talk therapy or receive any other treatment."
cymbalta,8,Considerably Effective,Moderate Side Effects,"It itnitially helped a great deal. The first 2 days I slept and I felt really good for a change. My aches and pains seemed to vanish. I had energy and felt motivated. My ""quick to aggravate"" temperment diminished as well.","The first 2 days on it I slept. Then by the fourth to fifth month, I started to experience heart palpitations at an increasing rate daily. I was weaned off and restarted 6 or so months later and once again, by the 4-5 month range, the palpitations started to increase again. During the first round, I had a dimished appetite and lost 15 lbs. During the second round, it didn't seem to affect my appetite either way.",I was started on 30 mg po qd for 2 weeks then increased to 60 mg po qd.
lexapro,8,Highly Effective,Mild Side Effects,"helped anxiety & black moods, headaches.  Made my life a happier place to be in, especially for my family.  Have had great results with lexapro with only minimal side effects such as a small weight gain.","Would not recommend going off lexapro cold turkey as the effects of doing this are pretty horrible such as head spins, highly recommend slowly weaning yourself off it.  Have had a slight weight gain due to slowing me down considerably.","Doctor prescribed lexapro when I had seen him about black moods & depression which is something I have had on and off since I was very young.   Depression was starting to effect my family life so felt I needed to see a doctor, he prescribed me lexapro as it helps with depression & anxiety.  I was prescribed 10mg and take one tablet daily.  I visit the doctor regularly to update progress on lexapro"
paxil,7,Considerably Effective,Extremely Severe Side Effects,Significantly decreased depression and anxiety. More effective than Lexapro which was also taken prior by patient. Definitely a more effective product.,None which was an improvement from Lexapro which caused insomnia and fatigue. Did not experience any significant side effects.,Taken daily at night before bedtime. Also exercised daily and increased activity which contributed to success.
wellbutrin-xl,5,Moderately Effective,Moderate Side Effects,"Stabalized mood, decreased fatigue, better outlook on life.","Hairloss, shaky","I was perscribed Wellbutrin XL for depression, I am still taking it however I am thinking of weaning myself off as I dont really see that drastic an improvement and the side affects are troubling, I have experienced a significant amount of hairloss.  Hairloss is a rare side affect, but it seems to affect a lot of women."
zoloft,7,Considerably Effective,Mild Side Effects,able to think more clearly and remember things and not so depressed. could function more stable -- began to get more done like in years past. the night sweats from pre menapausal symptoms seemed to go away almost totally; it gave me more hope and not so effected by negative circumstances. I was able to move on with life and function like a normal person,weight gain from taking the med,take once a day
wellbutrin,8,Considerably Effective,Mild Side Effects,"relieved depressive symptoms; not as weepy or anxious, did NOT interfere with libido/sexual performance; slight decrease in appetite (pt liked wt loss)","increase in headaches, occasional nausea if taken on empty stomach",pt started on 150mg daily for 1 week then increased to 300mg once daily. Pt continues on the regimen today (has been for years 5+)
prozac,9,Highly Effective,Mild Side Effects,"Having had severe TPM symptoms for many years, I asked my doctor for Fluoxetine. The benefits were a total feeling of ""well-being"". Without the extreme ""high"" feeling of anfetamines (taken before as part of a supervised diet regimen). High decrease on anxiety. Appetite more controled. Clearness of my thoughts. Decrease on crisis of depression (specially during the days previous to my periods). More ""energy"" during the day to the daily things.. decrease on obsessive compulsive (mild) disorder","The side effects with the intake of Fluoxetine for me included mild insomnia, headaches (specially in the beginning of the treatment). Loss of appetite. Mild change in the sense of taste. Little bit of nausea after a big meal. Or something very different from the usual food. Change in mood (varieting a lot specially in the beginning of treatment).",Fluoxetine 20mg. Taken once daily (variation: twice daily during week previous to period). For a period of 6 months (at least 3 months; possibly to be discontinued if great increase was noticed). Not to be taken with any other drug before consulting a doctor. Not to be taken with alcoolic drinks. Not to be taken with empty stomache.
lexapro,6,Moderately Effective,Mild Side Effects,"less irritability, slept better. Was less hungry.","mild mania, manifested by spending more money. I felt less inhibition in my spending and bought more products than I had in the past.","Was put on paxil which was quite effective but had the side effect of wt gain. Switched to lexapro. Wt gain more easily controlled, but wasn't as effective as paxil for depression. Now I'm on nothing and I'm doing well."
lexapro,6,Marginally Effective,No Side Effects,"The treatment benefits were marginal at best.  Mood neither improved nor deteriorated, and anxiety was never significantly alleviated.  Unsurprisingly, recent research suggests that SSRIs are only effective in the most severe of cases.","On the plus side, I experienced no major side effects.  The possible effects can range from nausea to sexual dysfunction, but none were a problem.  However, it is possible to feel a sort of withdrawal.","The pills are administered once a day, daily, for as long as you think it's worth taking them.  The prescribing physician recommended taking Lexapro for at least six months to get the full benefit of its normalizing effects."
